id,name,type
43227,Magnum the Reliever,Fusion Monster
109401,Dark Dimension Soldier,Synchro Monster
146746,Double Headed Anger Knuckle,Link Monster
284224,Dual Avatar - Empowered Mitsu-Jaku,Fusion Monster
286392,Jet Warrior,Synchro Monster
298846,Trickstar Colchica,Link Monster
324483,Ultimate Flame Swordsman,Fusion Monster
359563,Evilswarm Nightmare,XYZ Monster
440556,Bahamut Shark,XYZ Monster
464362,Frightfur Tiger,Fusion Monster
494922,Superheavy Samurai Warlord Susanowo,Synchro Monster
581014,Daigusto Emeral,XYZ Monster
601193,"Virgil, Rock Star of the Burning Abyss",Synchro Monster
698785,Thunder End Dragon,XYZ Monster
739444,Vorticular Drumgon,Link Monster
770365,Empress of Prophecy,XYZ Monster
821049,Visas Amritara,Synchro Tuner Monster
900787,Dragunity Knight - Gae Bulg,Synchro Monster
952523,Traptrix Cularia,Link Monster
987311,D/D/D Gust King Alexander,Synchro Monster
1174075,Drytron Mu Beta Fafnir,XYZ Monster
1249315,Herald of Pure Light,XYZ Monster
1269512,Full Armored Utopic Ray Lancer,XYZ Monster
1322368,SPYRAL Double Helix,Link Monster
1340142,"Varar, Vaalmonican Concord",Link Monster
1412158,Super Roboyarou,Fusion Monster
1426714,Number 48: Shadow Lich,XYZ Monster
1482001,"Clara & Rushka, the Ventriloduo",Link Monster
1487805,Cosmic Slicer Zer'oll,Link Monster
1508649,Altergeist Hexstia,Link Monster
1516510,Rune-Eyes Pendulum Dragon,Fusion Monster
1528054,Silhouhatte Rabbit,Link Monster
1546123,Cyber End Dragon,Fusion Monster
1561110,ABC-Dragon Buster,Fusion Monster
1595137,Evolved Daneen,Fusion Monster
1621413,Dark Requiem Xyz Dragon,XYZ Monster
1639384,Divine Dragon Knight Felgrand,XYZ Monster
1641882,Fusionist,Fusion Monster
1686814,Ultimaya Tzolkin,Synchro Monster
1688285,Traptrix Pinguicula,XYZ Monster
1735088,Wind-Up Zenmaintenance,Link Monster
1769875,Chimera the King of Phantom Beasts,Fusion Monster
1828513,Shadow of the Six Samurai - Shien,XYZ Monster
1855932,Bujintei Kagutsuchi,XYZ Monster
1861629,Decode Talker,Link Monster
1906812,Sprind the Irondash Dragon,Fusion Monster
1945387,Elemental HERO Nova Master,Fusion Monster
1948619,Xtra HERO Wonder Driver,Link Monster
1992816,Number 9: Dyson Sphere,XYZ Monster
